Nome,CEP,Endereço,Cidade,Estado,Status
"MULTISERVICOS KAOLIN","60421-410","Sem endereço","FORTALEZA","","Geocodificado"
"POSTO 30 DE SETEMBRO LESTE OESTE COMBUSTIVEIS","59610-280","Sem endereço","MOSSORÓ","","Geocodificado"
"R R MUNARETTO TRANSPORTES LTDA","83040-540","Sem endereço","SÃO JOSÉ DOS PINHAIS","","Geocodificado"
"(ALUVID) - METALFLEX INDUSTRIA E COMERCIO DE ALUMINIO E VIDR","52291-630","Sem endereço","RECIFE","","Pendente"
"3 J PALLETS","14169-110","Sem endereço","SERTÃOZINHO","","Pendente"
"3 VIA &amp; CIA","60510-415","Sem endereço","FORTALEZA","","Pendente"
"37.666.018 RENATA DECIMONE DE SANTANA","12287-650","Sem endereço","CAÇAPAVA","","Pendente"
"3CAFFI INDUSTRIA E COMERCIO DE CAPSULAS S.A","39404-628","Sem endereço","MONTES CLAROS","","Pendente"
"3D INDUSTRIA DE PAPEIS","61768-840","Sem endereço","EUSÉBIO","","Pendente"
"3DI BIOGAS","85869-559","Sem endereço","FOZ DO IGUAÇU","","Pendente"
"3DI BIOGAS","85869-559","Sem endereço","FOZ DO IGUAÇU","","Pendente"
"3G ENGENHARIA","60181-712","Sem endereço","FORTALEZA","","Pendente"
"3GREEN TECHNOLOGY","32150-971","Sem endereço","CONTAGEM","","Pendente"
"3M DO BRASIL LTDA","13181-513","Sem endereço","SUMARÉ","","Pendente"
"3R","43900-000","Sem endereço","SÃO FRANCISCO DO CONDE","","Pendente"
"3R POTIGUAR S.A.","59598-000","Sem endereço","GUAMARÉ","","Pendente"
"4M ENGENHARIA","60864-255","Sem endereço","FORTALEZA","","Pendente"
"51 Bebidas","54503-010","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"56.320.656 ANDERSON RAIVILE DO NASCIMENTO NUNES","60510-078","Sem endereço","FORTALEZA","","Pendente"
"800 AUTO SERVICE","60822-130","Sem endereço","FORTALEZA","","Pendente"
"A F INSTALACAO E MANUTENCAO INDUSTRIAL","61934-070","Sem endereço","MARACANAÚ","","Pendente"
"A J PREMOLDADOS","62875-000","Sem endereço","CHOROZINHO","","Pendente"
"A RECUPERADORA DIVISAO FORTALEZA","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"A ROCHA","62280-000","Sem endereço","SANTA QUITÉRIA","","Pendente"
"A SOLUCAO ENGENHARIA","49090-280","Sem endereço","ARACAJU","","Pendente"
"A TONAL INDUSTRIA QUIMICA LTDA","14406-100","Sem endereço","FRANCA","","Pendente"
"A&A QUIMICA LTDA","61901-410","Sem endereço","MARACANAÚ","","Pendente"
"A.F.S.ASSISTENCIA TECNICA DE INSTRUMENTOS LTDA","60873-750","Sem endereço","FORTALEZA","","Pendente"
"A3 TECNOLOGIA","59067-650","Sem endereço","NATAL","","Pendente"
"AARON","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"ABATEDOURO","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"ABILIO ESTOFADOS","61901-410","Sem endereço","MARACANAÚ","","Pendente"
"ACENI","26210-000","Sem endereço","NOVA IGUAÇU","","Pendente"
"ACF INDUSTRIA DE ARTEFATOS METALICOS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"ACO CEARENSE - ACI FILIAL","61616-000","Sem endereço","CAUCAIA","","Pendente"
"ACO CEARENSE - ACI MATRIZ","61616-000","Sem endereço","CAUCAIA","","Pendente"
"ACO PRONTO SERVICOS DE CORTE E DOBRA LTDA","78060-600","Sem endereço","CUIABÁ","","Pendente"
"ACO-BRAS","60422-690","Sem endereço","FORTALEZA","","Pendente"
"ACOFORTE MOVEIS E EQUIPAMENTOS S A","61901-410","Sem endereço","MARACANAÚ","","Pendente"
"ACOMETAL","65055-285","Sem endereço","SÃO LUÍS","","Pendente"
"ACOSTA EMPREENDIMENTOS E SERVICOS","60867-670","Sem endereço","FORTALEZA","","Pendente"
"ACS AMBIENTAL","61936-000","Sem endereço","MARACANAÚ","","Pendente"
"ACUCAR CONDE","54345-060","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"ADAUTO","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"ADD MAQUINAS LOCACOES E SERVICOS","61760-000","Sem endereço","FORTALEZA","","Pendente"
"ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA","62690-000","Sem endereço","TRAIRI","","Pendente"
"ADENOX","63047-052","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ADMINISTRACAO CENTRAL","70334-900","Sem endereço","BRASÍLIA","","Pendente"
"ADRIMOVES","62570-000","Sem endereço","BELA CRUZ","","Pendente"
"AERIS 2","61680-000","Sem endereço","CAUCAIA","","Pendente"
"AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE E","61690-000","Sem endereço","CAUCAIA","","Pendente"
