SQL Execution Plan
======================================================================

Total Statements: 2315
Total Mini-Batches: 234
Statements per Mini-Batch: ~10

Batch 1.1: 10 statements
Batch 1.2: 10 statements
Batch 1.3: 10 statements
Batch 1.4: 10 statements
Batch 1.5: 10 statements
Batch 1.6: 10 statements
Batch 1.7: 10 statements
Batch 1.8: 10 statements
Batch 1.9: 10 statements
Batch 1.10: 10 statements
Batch 1.11: 10 statements
Batch 1.12: 10 statements
Batch 1.13: 10 statements
Batch 1.14: 10 statements
Batch 1.15: 10 statements
Batch 1.16: 10 statements
Batch 1.17: 10 statements
Batch 1.18: 10 statements
Batch 1.19: 10 statements
Batch 1.20: 10 statements
Batch 1.21: 10 statements
Batch 1.22: 10 statements
Batch 1.23: 10 statements
Batch 1.24: 10 statements
Batch 1.25: 10 statements
Batch 1.26: 10 statements
Batch 1.27: 10 statements
Batch 1.28: 10 statements
Batch 1.29: 10 statements
Batch 1.30: 10 statements
Batch 1.31: 10 statements
Batch 1.32: 10 statements
Batch 1.33: 10 statements
Batch 1.34: 10 statements
Batch 1.35: 10 statements
Batch 1.36: 10 statements
Batch 1.37: 10 statements
Batch 1.38: 10 statements
Batch 1.39: 10 statements
Batch 1.40: 10 statements
Batch 1.41: 10 statements
Batch 1.42: 10 statements
Batch 1.43: 10 statements
Batch 1.44: 10 statements
Batch 1.45: 10 statements
Batch 1.46: 10 statements
Batch 1.47: 10 statements
Batch 1.48: 10 statements
Batch 1.49: 10 statements
Batch 1.50: 10 statements
Batch 1.51: 10 statements
Batch 1.52: 10 statements
Batch 1.53: 10 statements
Batch 1.54: 10 statements
Batch 1.55: 10 statements
Batch 1.56: 10 statements
Batch 1.57: 10 statements
Batch 1.58: 10 statements
Batch 1.59: 10 statements
Batch 1.60: 10 statements
Batch 1.61: 10 statements
Batch 1.62: 10 statements
Batch 1.63: 5 statements
Batch 2.1: 10 statements
Batch 2.2: 10 statements
Batch 2.3: 10 statements
Batch 2.4: 10 statements
Batch 2.5: 10 statements
Batch 2.6: 10 statements
Batch 2.7: 10 statements
Batch 2.8: 10 statements
Batch 2.9: 10 statements
Batch 2.10: 10 statements
Batch 2.11: 10 statements
Batch 2.12: 10 statements
Batch 2.13: 10 statements
Batch 2.14: 10 statements
Batch 2.15: 10 statements
Batch 2.16: 10 statements
Batch 2.17: 10 statements
Batch 2.18: 10 statements
Batch 2.19: 10 statements
